Date,Amount,Name,Category
2020-09-01,10,GOOD2GO-INTERNET,Food and Drink,Restaurants
2020-09-01,-2696.59,PENDING PAYMENT,Transfer,Credit
2020-09-01,-1000,PENDING PAYMENT,Transfer,Credit
2020-09-01,-477.83,PENDING PAYMENT,Transfer,Credit
2020-08-31,4.72,7-Eleven,Shops,Convenience Stores
2020-08-31,24,Cloudburst Brewing,Food and Drink,Breweries
2020-08-31,1414.77,LS RECYCLED CYCLES IN,Shops,Bicycles
2020-08-31,53.5,MUSANG SEATTLE,Food and Drink,Restaurants
2020-08-31,4.75,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-08-31,0.12,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-31,0.12,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-31,0.25,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-31,0.5,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-31,0.9,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-31,1,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-31,1,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-31,40.06,SHORELINE CTRL MKT,Shops,Supermarkets and Groceries
2020-08-31,18.17,TACOS CHUKIS BEACON Hgosq.com,Food and Drink,Restaurants
2020-08-31,100,TMOBILE*AUTO PAY,Service,Telecommunication Services
2020-08-31,34.73,VERAS PIZZA & BAR,Food and Drink,Restaurants
2020-08-30,2.2,PORKCHOP CO,Food and Drink,Restaurants
2020-08-28,23.23,CARSTICKERS.COM OR,Service
2020-08-28,1.99,Google Cloud Storage,Service,Business Services
2020-08-28,0.25,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-28,1,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-28,1,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-27,27.97,Bluebird Ice Cream,Food and Drink,Restaurants,Ice Cream
2020-08-27,33.33,KOREAN BAMBOO,Food and Drink,Restaurants
2020-08-26,104,Costco,Shops,Warehouses and Wholesale Stores
2020-08-26,19.36,Costco Gas,Travel,Gas Stations
2020-08-26,8.06,Lighthouse Roasters,Food and Drink,Restaurants
2020-08-26,59.44,MUD BAY BALLARD,Shops,Pets
2020-08-26,49.69,Trader Joe's,Shops,Supermarkets and Groceries
2020-08-26,87.36,WHIRLPOOL CANADA LP DARTMOUTH NS,Service,Home Improvement,Home Appliances
2020-08-25,46.2,ASADERO BALLARD,Food and Drink,Restaurants
2020-08-25,25,NUNA RAMEN,Food and Drink,Restaurants
2020-08-24,16.5,APPLE.COM/BILL,Shops,Digital Purchase
2020-08-24,30.51,HONEYHOLE SANDWICHES,Food and Drink,Restaurants
2020-08-24,31.7,NIT THAI DESSERT,Food and Drink,Restaurants
2020-08-24,10.63,Netflix,Service,Subscription
2020-08-24,11.62,PCC - BALLARD,Shops,Supermarkets and Groceries
2020-08-24,7.5,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-08-24,29.04,Peddler Brewing Company,Food and Drink,Breweries
2020-08-24,9.1,Porkchop & Co.,Food and Drink,Restaurants
2020-08-24,0.12,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-24,0.12,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-24,0.25,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-24,1,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-24,2,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-24,17,SEA WOLF BAKERS,Food and Drink,Restaurants
2020-08-24,36.95,TST* GENERAL PORPOISE 1 -SEATTLE,Food and Drink,Restaurants
2020-08-24,16.48,The DISH,Food and Drink,Restaurants
2020-08-24,36.35,The DISH,Food and Drink,Restaurants
2020-08-24,22.14,Trader Joe's,Shops,Supermarkets and Groceries
2020-08-22,0.08,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-22,0.17,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-22,1.19,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-22,1.14,SEATTLE METER PARKING,Travel,Parking
2020-08-22,24,THAI ON 1,Food and Drink,Restaurants
2020-08-21,34.43,76 - DRAVUS 76,Travel,Gas Stations
2020-08-21,0.25,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-21,2,SEATTLE METER PARKING,Travel,Parking
2020-08-20,10.53,Anchored Ship Coffee Bar,Food and Drink,Restaurants,Coffee Shop
2020-08-20,165.29,JET CITY ANIMAL CLINIC,Service,Veterinarians
2020-08-20,7.5,Lighthouse Roasters,Food and Drink,Restaurants
2020-08-20,0.25,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-08-20,0.92,SDOT PAYBYPHONE PARKING,Travel,Parking
