Date,Amount,Name,Category
2020-09-30,168.42,Lowe's,Shops,Hardware Store
2020-09-30,17.28,MARKETIME FOODS,Shops,Supermarkets and Groceries
2020-09-30,-55.05,Nike US Stores,Shops,Clothing and Accessories
2020-09-30,0.11,SDOT PAYBYPHONE PARKIN,Travel,Parking
2020-09-30,2,SDOT PAYBYPHONE PARKIN,Travel,Parking
2020-09-30,36.93,SEN NOODLE BAR,Food and Drink,Restaurants
2020-09-30,100,TMOBILE*AUTO PAY,Service,Telecommunication Services
2020-09-30,34.47,TST* GH PASTA CO,Food and Drink,Restaurants
2020-09-30,7.75,USPS PO 5476010005,Service,Shipping and Freight
2020-09-29,28.65,7-Eleven,Shops,Convenience Stores
2020-09-29,30,GOOD2GOREPLENISH,Food and Drink,Restaurants
2020-09-29,319.24,REI #11 SEATTLE,Shops,Sporting Goods
2020-09-28,16.5,APPLE.COM/BILL,Shops,Digital Purchase
2020-09-28,4.39,Fred Meyer,Shops,Supermarkets and Groceries
2020-09-28,1.99,Google Cloud Storage,Service,Business Services
2020-09-28,19.09,HONEYHOLE SANDWICHES,Food and Drink,Restaurants
2020-09-28,7.5,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-09-28,380.94,REI #11 SEATTLE,Shops,Sporting Goods
2020-09-28,0.12,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-09-28,0.2,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-09-28,0.5,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-09-28,1,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-09-28,1,SDOT PAYBYPHONE PARKING,Travel,Parking
2020-09-28,0.73,SEATTLE METER PARKING,Travel,Parking
2020-09-28,18.48,THE DISH,Service,Cable
2020-09-28,29,THE MATADOR,Food and Drink,Restaurants
2020-09-27,28.65,7-Eleven,Shops,Convenience Stores
2020-09-26,15.05,Amazon.com*M45WD7MV0 Amzn.com/billWA,Shops,Digital Purchase
2020-09-26,112.13,DRI*FITBIT INC. orderfind.com,Service
2020-09-26,40,KOREAN BAMBOO,Food and Drink,Restaurants
2020-09-26,19.62,ROSELLINIS,Food and Drink,Restaurants
2020-09-26,0.75,SDOT PAYBYPHONE PARKING,Travel,Parking
